hour,base_load,fluctutating_load,PV_generation
98,0.000114155,2.99E-06,0
99,0.000114155,1.04E-05,0
100,0.000114155,3.42E-05,0
101,0.000114155,4.83E-05,0
102,0.000114155,0.00013006,0
103,0.000114155,0.000132455,0.010805861
104,0.000114155,0.000101987,0.051648352
105,0.000114155,0.000111863,0.300549451
106,0.000114155,9.29E-05,0.477838828
107,0.000114155,0.000103645,0.543589744
108,0.000114155,0.000102633,0.672710623
109,0.000114155,0.000104854,0.65
110,0.000114155,9.21E-05,0.603479853
111,0.000114155,0.000103914,0.321978022
112,0.000114155,0.000177565,0.217948718
113,0.000114155,0.000210826,0.173626374
114,0.000114155,0.000237237,0.097252747
115,0.000114155,0.000226911,0.128021978
116,0.000114155,0.00020662,0.032967033
117,0.000114155,0.000179284,0.004761905
118,0.000114155,0.00015546,0
119,0.000114155,9.44E-05,0
120,0.000114155,4.80E-05,0
121,0.000114155,2.57E-05,0
122,0.000114155,1.05E-05,0
123,0.000114155,1.67E-05,0
124,0.000114155,1.95E-05,0
125,0.000114155,2.27E-05,0
126,0.000114155,4.34E-05,0
127,0.000114155,6.81E-05,0.013369963
128,0.000114155,0.000119651,0.072161172
129,0.000114155,0.000170612,0.144871795
130,0.000114155,0.000190141,0.298168498
131,0.000114155,0.000205293,0.657692308
132,0.000114155,0.000192269,0.517032967
133,0.000114155,0.000161038,0.485531136
134,0.000114155,0.000168211,0.591391941
135,0.000114155,0.000152793,0.625274725
136,0.000114155,0.000185696,0.641208791
137,0.000114155,0.000226489,0.472527473
138,0.000114155,0.000260162,0.356776557
139,0.000114155,0.000249004,0.14047619
140,0.000114155,0.000203057,0.034432234
141,0.000114155,0.000166627,0.006776557
142,0.000114155,0.000153194,0
143,0.000114155,0.000118865,0
144,0.000114155,6.51E-05,0
145,0.000114155,3.14E-05,0
146,0.000114155,8.13E-06,0
147,0.000114155,1.20E-05,0
148,0.000114155,1.12E-05,0
149,0.000114155,1.67E-05,0
150,0.000114155,3.51E-05,0
151,0.000114155,6.46E-05,0.014102564
152,0.000114155,0.000129859,0.061538462
153,0.000114155,0.000204618,0.100915751
154,0.000114155,0.000229572,0.1496337
155,0.000114155,0.00021659,0.209340659
156,0.000114155,0.000236309,0.526739927
157,0.000114155,0.000197336,0.778571429
158,0.000114155,0.000167806,0.893589744
159,0.000114155,0.00020375,0.738827839
160,0.000114155,0.000254427,0.654578755
161,0.000114155,0.000298936,0.588644689
162,0.000114155,0.000319693,0.366849817
163,0.000114155,0.000310734,0.13021978
164,0.000114155,0.000251135,0.021611722
165,0.000114155,0.000197635,0.004212454
166,0.000114155,0.000153191,0
167,0.000114155,5.78E-05,0
